id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_5387,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,????,Unknown,Repair Café 0056,2019-01-25,
repaircafe_5388,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
repaircafe_5389,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Fixed,Repair Café 0056,2019-01-25,snoer doorgebrand
repaircafe_5390,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Unknown,Repair Café 0056,2019-01-25,
repaircafe_5391,Repair Café,NLD,Dutch,Power tool,Bosch,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Boorkop niet te verwijderen
repaircafe_5392,Repair Café,NLD,Dutch,Hi-Fi separates,Unknown,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
repaircafe_5393,Repair Café,NLD,Dutch,Hi-Fi separates,TEAC,Unknown,????,Unknown,Repair Café 0056,2019-01-25,CD blijft er in zitten klepje gaat niet meer open
repaircafe_5394,Repair Café,NLD,Dutch,Small home electrical,Tefal,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Lekt water scheurtje in de stoompijp
repaircafe_5395,Repair Café,NLD,Dutch,Small kitchen item,Coway,Unknown,2008,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
repaircafe_5396,Repair Café,NLD,Dutch,Kettle,Inventum,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer (aan en uit knop)
repaircafe_5397,Repair Café,NLD,Dutch,Small home electrical,Philips ,Unknown,2015,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
repaircafe_5399,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,????,Fixed,Repair Café 0040,2019-01-26,doorgebrand
repaircafe_5400,Repair Café,NLD,Dutch,Vacuum,Electrolux,Unknown,????,Fixed,Repair Café 0040,2019-01-26,start niet meer
repaircafe_5407,Repair Café,NLD,Dutch,Battery/charger/adapter,Accel,Unknown,????,Unknown,Repair Café 0040,2019-01-26,laadt niet op
repaircafe_5409,Repair Café,NLD,Dutch,TV and gaming-related accessories,Harman Kardon,Unknown,????,Fixed,Repair Café 0040,2019-01-26,"van tafel gevallen, doet het niet meer"
repaircafe_5411,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,????,Fixed,Repair Café 0040,2019-01-26,blijft knipperen
repaircafe_5412,Repair Café,NLD,Dutch,Small kitchen item,Lattemento,Unknown,????,Fixed,Repair Café 0040,2019-01-26,doet het niet meer
repaircafe_5413,Repair Café,NLD,Dutch,Hi-Fi separates,JAC ,Unknown,????,Fixed,Repair Café 0040,2019-01-26,CD-speler sluit niet goed
repaircafe_5414,Repair Café,NLD,Dutch,Sewing machine,Vendomatic,Unknown,????,Fixed,Repair Café 0040,2019-01-26,draait niet
repaircafe_5415,Repair Café,NLD,Dutch,Battery/charger/adapter,Philips ,Unknown,????,Unknown,Repair Café 0040,2019-01-26,laadt niet op
repaircafe_5416,Repair Café,NLD,Dutch,Watch/clock,Sangean,Unknown,????,Fixed,Repair Café 0040,2019-01-26,lampjes graag uit
repaircafe_5417,Repair Café,NLD,Dutch,TV and gaming-related accessories,Sony,Unknown,2014,Repairable,Repair Café 0040,2019-01-26,tijdens verhuizen defect geraakt
