id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_101,Repair Café Toronto,CAN,Stereo,Hi-Fi integrated,12,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-21,""
rctoronto_102,Repair Café Toronto,CAN,Garrison heater,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-21,""
rctoronto_103,Repair Café Toronto,CAN,Rice cooker,Small kitchen item,29,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-21,""
rctoronto_104,Repair Café Toronto,CAN,Space heater,Small home electrical,28,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-21,""
rctoronto_105,Repair Café Toronto,CAN,Blood pressure monitor,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-21,""
rctoronto_106,Repair Café Toronto,CAN,Portable heater,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-21,""
rctoronto_111,Repair Café Toronto,CAN,Flashlight,Decorative or safety lights,3,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_107,Repair Café Toronto,CAN,Fan,Fan,7,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-01,""
rctoronto_109,Repair Café Toronto,CAN,Toaster,Toaster,31,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-01,""
rctoronto_112,Repair Café Toronto,CAN,Iphone6sp,Mobile,19,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-06,""
rctoronto_113,Repair Café Toronto,CAN,Speakers,Hi-Fi separates,13,Unknown,"","",Repairable,"",Repair Café Toronto,2016-03-19,""
rctoronto_114,Repair Café Toronto,CAN,Charger,Battery/charger/adapter,2,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-06,""
rctoronto_115,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-06,""
rctoronto_116,Repair Café Toronto,CAN,Water heater,Kettle,14,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-06,""
rctoronto_117,Repair Café Toronto,CAN,Toaster Oven,Small kitchen item,29,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-06,""
rctoronto_118,Repair Café Toronto,CAN,Key remote,Small home electrical,28,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-06,""
rctoronto_121,Repair Café Toronto,CAN,Clothing Steamer,Power tool,24,Unknown,"","",Repairable,"",Repair Café Toronto,2016-03-19,""
rctoronto_119,Repair Café Toronto,CAN,Car battery charger,Battery/charger/adapter,2,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_120,Repair Café Toronto,CAN,Headphones,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_123,Repair Café Toronto,CAN,Amplifier,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_125,Repair Café Toronto,CAN,Watch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_126,Repair Café Toronto,CAN,Cellphone,Mobile,19,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_128,Repair Café Toronto,CAN,Vacuum,Vacuum,34,Unknown,"","",End of life,"",Repair Café Toronto,2016-03-19,""
rctoronto_127,Repair Café Toronto,CAN,Printer,Printer/scanner,25,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_129,Repair Café Toronto,CAN,Rice cooker,Small kitchen item,29,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_130,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_131,Repair Café Toronto,CAN,Watch battery,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_132,Repair Café Toronto,CAN,Coffee maker,Coffee maker,36,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_133,Repair Café Toronto,CAN,Flashlight,Decorative or safety lights,3,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
