id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_301,"Repair Café Denmark",DNK,Eltæppe,"Large home electrical",17,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_304,"Repair Café Denmark",DNK,microoven,"Large home electrical",17,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_305,"Repair Café Denmark",DNK,fladskærm,"Flat screen",8,Philips,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_306,"Repair Café Denmark",DNK,Brødrister,Toaster,31,Bodum,,,Repairable,,"Repair Café Danmark",2022-01-22,
rcdenmark_307,"Repair Café Denmark",DNK,Kaffemaskine,"Coffee maker",36,Dualit,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_308,"Repair Café Denmark",DNK,minihakker,"Small kitchen item",29,OBH,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_309,"Repair Café Denmark",DNK,"AV-udstyr ~ Fjernbetjenning til stol","Handheld entertainment device",10,Helge,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_315,"Repair Café Denmark",DNK,"AV-udstyr ~ reciver med","Portable radio",23,Denon,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_316,"Repair Café Denmark",DNK,"AV-udstyr ~ Cd afspiller","Hi-Fi separates",13,Philips,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_317,"Repair Café Denmark",DNK,"AV-udstyr ~ Stav blender","Food processor",37,OBH,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-22,
rcdenmark_318,"Repair Café Denmark",DNK,"AV-udstyr ~ Cd afspiller","Hi-Fi separates",13,EXCEL,,,"End of life","Item too worn out","Repair Café Danmark",2022-01-22,
rcdenmark_319,"Repair Café Denmark",DNK,"AV-udstyr ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_322,"Repair Café Denmark",DNK,"AV-udstyr ~ Blender","Food processor",37,Philips,,,"End of life","Item too worn out","Repair Café Danmark",2022-01-22,
rcdenmark_323,"Repair Café Denmark",DNK,"AV-udstyr ~ Kortbølge radio/modtager","Portable radio",23,Pocket,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_324,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ symaskine","Sewing machine",27,Silver,,,Fixed,,"Repair Café Danmark",2022-01-25,
rcdenmark_325,"Repair Café Denmark",DNK,"Lamper ~ lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-25,
